,DATETIMEDATA,PM25,TEMP,WS,RH,WD,RAIN
109,2024-01-05 13:00:00,15.3,32,1,49,190,0
110,2024-01-05 14:00:00,12.4,31,1,53,175,0
111,2024-01-05 15:00:00,13.1,31,1,55,201,0
112,2024-01-05 16:00:00,11.6,30,1,58,177,0
113,2024-01-05 17:00:00,18.0,29,1,65,152,0
114,2024-01-05 18:00:00,19.2,28,1,70,173,0
115,2024-01-05 19:00:00,19.4,28,1,70,151,0
116,2024-01-05 20:00:00,22.4,28,1,70,123,0
117,2024-01-05 21:00:00,20.4,28,1,71,104,0
118,2024-01-05 22:00:00,21.6,27,1,72,99,0
119,2024-01-05 23:00:00,17.1,27,1,74,114,0
120,2024-01-06 00:00:00,18.6,27,1,77,111,0
121,2024-01-06 01:00:00,19.9,27,1,78,115,0
122,2024-01-06 02:00:00,20.1,27,1,78,114,0
123,2024-01-06 03:00:00,22.7,27,1,78,113,0
124,2024-01-06 04:00:00,20.6,26,1,79,108,0
125,2024-01-06 05:00:00,20.6,26,1,83,105,0
126,2024-01-06 06:00:00,20.0,26,1,82,110,0
127,2024-01-06 07:00:00,23.2,26,1,83,111,0
128,2024-01-06 08:00:00,24.0,29,1,70,123,0
129,2024-01-06 09:00:00,23.8,29,1,68,141,0
130,2024-01-06 10:00:00,28.7,30,1,59,171,0
131,2024-01-06 11:00:00,30.5,31,1,57,178,0
132,2024-01-06 12:00:00,20.2,31,1,59,194,0
133,2024-01-06 13:00:00,21.1,31,1,58,180,0
134,2024-01-06 14:00:00,18.8,31,1,58,170,0
135,2024-01-06 15:00:00,22.4,31,1,57,202,0
136,2024-01-06 16:00:00,20.7,31,1,61,168,0
137,2024-01-06 17:00:00,17.8,29,1,65,145,0
138,2024-01-06 18:00:00,16.7,29,1,70,147,0
139,2024-01-06 19:00:00,17.8,28,1,73,148,0
140,2024-01-06 20:00:00,20.7,28,1,75,121,0
141,2024-01-06 21:00:00,15.9,28,1,75,114,0
142,2024-01-06 22:00:00,13.8,28,1,76,111,0
143,2024-01-06 23:00:00,17.2,28,1,81,113,0
144,2024-01-07 00:00:00,19.2,27,1,83,113,0
145,2024-01-07 01:00:00,20.9,26,1,89,127,7
146,2024-01-07 02:00:00,19.3,25,1,93,100,1
147,2024-01-07 03:00:00,13.7,25,1,95,91,3
148,2024-01-07 04:00:00,11.8,25,1,96,92,6
149,2024-01-07 05:00:00,14.1,25,1,97,106,3
150,2024-01-07 06:00:00,13.1,25,1,96,122,2
151,2024-01-07 07:00:00,16.6,26,1,94,120,0
152,2024-01-07 08:00:00,17.2,26,0,93,123,5
153,2024-01-07 09:00:00,18.2,27,1,87,234,1
154,2024-01-07 10:00:00,16.4,28,1,78,231,0
155,2024-01-07 11:00:00,19.1,30,1,69,227,0
156,2024-01-07 12:00:00,16.8,30,1,65,218,0
157,2024-01-07 13:00:00,17.7,28,2,79,228,4
158,2024-01-07 14:00:00,21.3,28,1,78,212,0
159,2024-01-07 15:00:00,19.6,30,1,67,237,0
160,2024-01-07 16:00:00,16.7,29,1,69,230,0
161,2024-01-07 17:00:00,16.3,28,1,72,190,0
162,2024-01-07 18:00:00,15.9,28,1,74,162,0
163,2024-01-07 19:00:00,20.7,28,1,74,163,0
164,2024-01-07 20:00:00,14.0,28,1,75,176,0
165,2024-01-07 21:00:00,13.5,28,1,77,131,0
166,2024-01-07 22:00:00,15.7,27,1,79,116,0
167,2024-01-07 23:00:00,11.9,27,1,82,117,0
168,2024-01-08 00:00:00,13.9,27,1,83,113,0
169,2024-01-08 01:00:00,15.7,27,1,83,103,0
170,2024-01-08 02:00:00,10.3,27,1,84,103,0
171,2024-01-08 03:00:00,16.5,27,1,84,98,0
172,2024-01-08 04:00:00,11.2,27,1,84,106,0
173,2024-01-08 05:00:00,19.4,26,1,86,108,0
174,2024-01-08 06:00:00,14.6,27,1,85,115,0
175,2024-01-08 07:00:00,14.2,27,1,83,113,0
176,2024-01-08 08:00:00,13.1,27,1,85,110,0
177,2024-01-08 09:00:00,16.8,28,1,78,115,0
178,2024-01-08 10:00:00,14.1,29,1,75,155,0
179,2024-01-08 11:00:00,,30,1,68,166,0
180,2024-01-08 12:00:00,16.5,30,1,65,211,0
181,2024-01-08 13:00:00,13.8,31,1,65,201,0
182,2024-01-08 14:00:00,16.2,31,1,62,214,0
183,2024-01-08 15:00:00,16.9,31,1,63,182,0
184,2024-01-08 16:00:00,14.6,30,1,67,190,0
185,2024-01-08 17:00:00,15.5,29,1,72,178,0
186,2024-01-08 18:00:00,16.7,28,1,79,188,0
187,2024-01-08 19:00:00,14.5,28,1,78,173,0
188,2024-01-08 20:00:00,15.2,28,1,78,170,0
189,2024-01-08 21:00:00,13.3,28,1,78,181,0
190,2024-01-08 22:00:00,15.9,27,1,79,133,0
191,2024-01-08 23:00:00,11.2,27,1,80,120,0
192,2024-01-09 00:00:00,13.2,27,1,81,115,0
193,2024-01-09 01:00:00,13.5,27,1,81,106,0
194,2024-01-09 02:00:00,14.9,27,1,82,109,0
195,2024-01-09 03:00:00,13.8,27,1,80,112,0
196,2024-01-09 04:00:00,13.3,26,1,82,110,0
197,2024-01-09 05:00:00,14.9,27,1,82,112,0
198,2024-01-09 06:00:00,11.7,26,1,87,109,0
199,2024-01-09 07:00:00,18.0,26,1,90,111,0
200,2024-01-09 08:00:00,20.4,28,1,79,154,0
201,2024-01-09 09:00:00,12.6,29,1,74,195,0
202,2024-01-09 10:00:00,9.9,30,1,68,134,0
203,2024-01-09 11:00:00,13.9,31,1,63,164,0
204,2024-01-09 12:00:00,19.5,31,1,64,149,0
205,2024-01-09 13:00:00,17.5,31,1,64,198,0
206,2024-01-09 14:00:00,11.7,30,1,65,182,0
207,2024-01-09 15:00:00,12.5,31,1,64,166,0
208,2024-01-09 16:00:00,12.8,30,2,69,133,0
209,2024-01-09 17:00:00,14.7,29,2,71,133,0
210,2024-01-09 18:00:00,15.7,29,1,75,124,0
211,2024-01-09 19:00:00,18.6,28,1,77,120,0
212,2024-01-09 20:00:00,17.8,28,1,80,110,0
213,2024-01-09 21:00:00,13.2,28,1,82,109,0
214,2024-01-09 22:00:00,15.5,28,1,79,129,0
215,2024-01-09 23:00:00,11.0,28,2,78,128,0
216,2024-01-10 00:00:00,20.3,28,1,79,122,0
217,2024-01-10 01:00:00,13.7,27,1,79,123,0
218,2024-01-10 02:00:00,15.7,27,1,80,116,0
219,2024-01-10 03:00:00,12.4,27,1,84,109,0
220,2024-01-10 04:00:00,13.9,26,1,87,107,0
221,2024-01-10 05:00:00,13.7,26,1,89,107,0
222,2024-01-10 06:00:00,16.8,26,1,90,106,0
223,2024-01-10 07:00:00,21.0,27,1,84,114,0
224,2024-01-10 08:00:00,19.0,28,1,78,123,0
225,2024-01-10 09:00:00,13.9,29,1,71,131,0
226,2024-01-10 10:00:00,16.6,31,1,63,162,0
227,2024-01-10 11:00:00,10.5,31,1,60,143,0
228,2024-01-10 12:00:00,12.5,32,1,57,168,0
229,2024-01-10 13:00:00,10.8,32,1,54,171,0
230,2024-01-10 14:00:00,13.2,32,1,55,163,0
231,2024-01-10 15:00:00,10.9,32,1,57,170,0
232,2024-01-10 16:00:00,8.9,31,1,61,163,0
233,2024-01-10 17:00:00,9.1,29,1,68,188,0
234,2024-01-10 18:00:00,15.8,28,1,73,190,0
235,2024-01-10 19:00:00,16.7,28,1,75,190,0
236,2024-01-10 20:00:00,16.0,28,1,76,163,0
237,2024-01-10 21:00:00,12.4,28,1,76,129,0
238,2024-01-10 22:00:00,17.5,28,1,77,134,0
239,2024-01-10 23:00:00,15.6,28,1,78,119,0
240,2024-01-11 00:00:00,16.0,27,1,79,118,0
241,2024-01-11 01:00:00,12.2,27,1,80,110,0
242,2024-01-11 02:00:00,13.7,27,1,81,105,0
243,2024-01-11 03:00:00,11.1,27,1,83,102,0
244,2024-01-11 04:00:00,13.2,26,1,86,99,0
245,2024-01-11 05:00:00,15.9,26,1,87,102,0
246,2024-01-11 06:00:00,18.1,26,0,86,104,0
247,2024-01-11 07:00:00,16.7,27,1,85,107,0
248,2024-01-11 08:00:00,25.5,29,1,73,114,0
249,2024-01-11 09:00:00,16.8,30,1,62,146,0
250,2024-01-11 10:00:00,13.8,31,1,58,141,0
251,2024-01-11 11:00:00,11.9,32,1,56,150,0
252,2024-01-11 12:00:00,17.0,32,1,54,143,0
253,2024-01-11 13:00:00,17.0,32,1,53,138,0
254,2024-01-11 14:00:00,13.2,32,1,54,166,0
255,2024-01-11 15:00:00,11.1,31,1,59,204,0
256,2024-01-11 16:00:00,9.7,30,1,63,199,0
257,2024-01-11 17:00:00,14.8,29,1,69,139,0
258,2024-01-11 18:00:00,20.0,28,1,72,145,0
259,2024-01-11 19:00:00,18.3,28,1,74,171,0
260,2024-01-11 20:00:00,16.7,28,1,74,137,0
261,2024-01-11 21:00:00,13.6,28,1,74,134,0
262,2024-01-11 22:00:00,14.9,28,1,75,131,0
263,2024-01-11 23:00:00,13.1,27,1,78,101,0
264,2024-01-12 00:00:00,13.5,27,0,79,106,0
265,2024-01-12 01:00:00,20.2,27,1,79,97,0
266,2024-01-12 02:00:00,14.7,26,0,83,106,0
267,2024-01-12 03:00:00,13.0,26,0,86,110,0
268,2024-01-12 04:00:00,13.7,25,0,87,106,0
269,2024-01-12 05:00:00,16.9,25,0,89,106,0
270,2024-01-12 06:00:00,27.1,25,0,90,109,0
271,2024-01-12 07:00:00,30.5,25,0,88,109,0
272,2024-01-12 08:00:00,22.6,28,1,75,122,0
273,2024-01-12 09:00:00,18.3,29,1,65,160,0
274,2024-01-12 10:00:00,12.5,31,0,57,138,0
275,2024-01-12 11:00:00,13.9,31,1,57,141,0
276,2024-01-12 12:00:00,14.5,32,1,54,174,0
