,DATETIMEDATA,PM25
167,2024-01-07 23:00:00,11.9
168,2024-01-08 00:00:00,13.9
169,2024-01-08 01:00:00,15.7
170,2024-01-08 02:00:00,10.3
171,2024-01-08 03:00:00,16.5
172,2024-01-08 04:00:00,11.2
173,2024-01-08 05:00:00,19.4
174,2024-01-08 06:00:00,14.6
175,2024-01-08 07:00:00,14.2
176,2024-01-08 08:00:00,13.1
177,2024-01-08 09:00:00,16.8
178,2024-01-08 10:00:00,14.1
179,2024-01-08 11:00:00,
180,2024-01-08 12:00:00,16.5
181,2024-01-08 13:00:00,13.8
182,2024-01-08 14:00:00,16.2
183,2024-01-08 15:00:00,16.9
184,2024-01-08 16:00:00,14.6
185,2024-01-08 17:00:00,15.5
186,2024-01-08 18:00:00,16.7
187,2024-01-08 19:00:00,14.5
188,2024-01-08 20:00:00,15.2
189,2024-01-08 21:00:00,13.3
190,2024-01-08 22:00:00,15.9
191,2024-01-08 23:00:00,11.2
192,2024-01-09 00:00:00,13.2
193,2024-01-09 01:00:00,13.5
194,2024-01-09 02:00:00,14.9
195,2024-01-09 03:00:00,13.8
196,2024-01-09 04:00:00,13.3
197,2024-01-09 05:00:00,14.9
198,2024-01-09 06:00:00,11.7
199,2024-01-09 07:00:00,18.0
200,2024-01-09 08:00:00,20.4
201,2024-01-09 09:00:00,12.6
202,2024-01-09 10:00:00,9.9
203,2024-01-09 11:00:00,13.9
204,2024-01-09 12:00:00,19.5
205,2024-01-09 13:00:00,17.5
206,2024-01-09 14:00:00,11.7
207,2024-01-09 15:00:00,12.5
208,2024-01-09 16:00:00,12.8
209,2024-01-09 17:00:00,14.7
210,2024-01-09 18:00:00,15.7
211,2024-01-09 19:00:00,18.6
212,2024-01-09 20:00:00,17.8
213,2024-01-09 21:00:00,13.2
214,2024-01-09 22:00:00,15.5
215,2024-01-09 23:00:00,11.0
216,2024-01-10 00:00:00,20.3
217,2024-01-10 01:00:00,13.7
218,2024-01-10 02:00:00,15.7
219,2024-01-10 03:00:00,12.4
220,2024-01-10 04:00:00,13.9
221,2024-01-10 05:00:00,13.7
222,2024-01-10 06:00:00,16.8
223,2024-01-10 07:00:00,21.0
224,2024-01-10 08:00:00,19.0
225,2024-01-10 09:00:00,13.9
226,2024-01-10 10:00:00,16.6
227,2024-01-10 11:00:00,10.5
228,2024-01-10 12:00:00,12.5
229,2024-01-10 13:00:00,10.8
230,2024-01-10 14:00:00,13.2
231,2024-01-10 15:00:00,10.9
232,2024-01-10 16:00:00,8.9
233,2024-01-10 17:00:00,9.1
234,2024-01-10 18:00:00,15.8
235,2024-01-10 19:00:00,16.7
236,2024-01-10 20:00:00,16.0
237,2024-01-10 21:00:00,12.4
238,2024-01-10 22:00:00,17.5
239,2024-01-10 23:00:00,15.6
240,2024-01-11 00:00:00,16.0
241,2024-01-11 01:00:00,12.2
242,2024-01-11 02:00:00,13.7
243,2024-01-11 03:00:00,11.1
244,2024-01-11 04:00:00,13.2
245,2024-01-11 05:00:00,15.9
246,2024-01-11 06:00:00,18.1
247,2024-01-11 07:00:00,16.7
248,2024-01-11 08:00:00,25.5
249,2024-01-11 09:00:00,16.8
250,2024-01-11 10:00:00,13.8
251,2024-01-11 11:00:00,11.9
252,2024-01-11 12:00:00,17.0
253,2024-01-11 13:00:00,17.0
254,2024-01-11 14:00:00,13.2
255,2024-01-11 15:00:00,11.1
256,2024-01-11 16:00:00,9.7
257,2024-01-11 17:00:00,14.8
258,2024-01-11 18:00:00,20.0
259,2024-01-11 19:00:00,18.3
260,2024-01-11 20:00:00,16.7
261,2024-01-11 21:00:00,13.6
262,2024-01-11 22:00:00,14.9
263,2024-01-11 23:00:00,13.1
264,2024-01-12 00:00:00,13.5
265,2024-01-12 01:00:00,20.2
266,2024-01-12 02:00:00,14.7
267,2024-01-12 03:00:00,13.0
268,2024-01-12 04:00:00,13.7
269,2024-01-12 05:00:00,16.9
270,2024-01-12 06:00:00,27.1
271,2024-01-12 07:00:00,30.5
272,2024-01-12 08:00:00,22.6
273,2024-01-12 09:00:00,18.3
274,2024-01-12 10:00:00,12.5
275,2024-01-12 11:00:00,13.9
276,2024-01-12 12:00:00,14.5
277,2024-01-12 13:00:00,15.7
278,2024-01-12 14:00:00,18.4
279,2024-01-12 15:00:00,16.5
280,2024-01-12 16:00:00,18.9
281,2024-01-12 17:00:00,15.8
282,2024-01-12 18:00:00,22.6
283,2024-01-12 19:00:00,26.8
284,2024-01-12 20:00:00,23.4
285,2024-01-12 21:00:00,23.8
286,2024-01-12 22:00:00,22.1
287,2024-01-12 23:00:00,24.5
288,2024-01-13 00:00:00,21.0
289,2024-01-13 01:00:00,19.9
290,2024-01-13 02:00:00,20.1
291,2024-01-13 03:00:00,17.0
292,2024-01-13 04:00:00,19.3
293,2024-01-13 05:00:00,15.8
294,2024-01-13 06:00:00,16.9
295,2024-01-13 07:00:00,16.9
296,2024-01-13 08:00:00,21.5
297,2024-01-13 09:00:00,15.5
298,2024-01-13 10:00:00,19.2
299,2024-01-13 11:00:00,25.4
300,2024-01-13 12:00:00,23.4
301,2024-01-13 13:00:00,21.9
302,2024-01-13 14:00:00,15.9
303,2024-01-13 15:00:00,17.7
304,2024-01-13 16:00:00,22.6
305,2024-01-13 17:00:00,22.1
306,2024-01-13 18:00:00,21.2
307,2024-01-13 19:00:00,24.7
308,2024-01-13 20:00:00,24.3
309,2024-01-13 21:00:00,24.8
310,2024-01-13 22:00:00,27.4
311,2024-01-13 23:00:00,23.7
312,2024-01-14 00:00:00,28.3
313,2024-01-14 01:00:00,23.5
314,2024-01-14 02:00:00,22.1
315,2024-01-14 03:00:00,22.7
316,2024-01-14 04:00:00,28.4
317,2024-01-14 05:00:00,31.4
318,2024-01-14 06:00:00,21.4
319,2024-01-14 07:00:00,29.5
320,2024-01-14 08:00:00,19.5
321,2024-01-14 09:00:00,22.3
322,2024-01-14 10:00:00,21.2
323,2024-01-14 11:00:00,25.6
324,2024-01-14 12:00:00,27.9
325,2024-01-14 13:00:00,24.6
326,2024-01-14 14:00:00,20.1
327,2024-01-14 15:00:00,
328,2024-01-14 16:00:00,
329,2024-01-14 17:00:00,19.2
330,2024-01-14 18:00:00,20.1
331,2024-01-14 19:00:00,22.7
332,2024-01-14 20:00:00,31.5
333,2024-01-14 21:00:00,22.8
334,2024-01-14 22:00:00,19.7
335,2024-01-14 23:00:00,13.9
336,2024-01-15 00:00:00,13.7
337,2024-01-15 01:00:00,15.9
338,2024-01-15 02:00:00,14.1
339,2024-01-15 03:00:00,12.7
340,2024-01-15 04:00:00,13.7
341,2024-01-15 05:00:00,24.9
342,2024-01-15 06:00:00,21.3
343,2024-01-15 07:00:00,18.8
344,2024-01-15 08:00:00,18.2
345,2024-01-15 09:00:00,13.6
346,2024-01-15 10:00:00,15.7
347,2024-01-15 11:00:00,19.3
348,2024-01-15 12:00:00,18.5
349,2024-01-15 13:00:00,14.9
350,2024-01-15 14:00:00,12.1
351,2024-01-15 15:00:00,16.8
352,2024-01-15 16:00:00,16.2
353,2024-01-15 17:00:00,15.5
354,2024-01-15 18:00:00,16.2
355,2024-01-15 19:00:00,11.7
356,2024-01-15 20:00:00,17.7
357,2024-01-15 21:00:00,15.1
358,2024-01-15 22:00:00,20.2
359,2024-01-15 23:00:00,18.3
360,2024-01-16 00:00:00,20.1
361,2024-01-16 01:00:00,19.8
362,2024-01-16 02:00:00,17.2
363,2024-01-16 03:00:00,16.1
364,2024-01-16 04:00:00,19.9
365,2024-01-16 05:00:00,22.5
366,2024-01-16 06:00:00,24.7
367,2024-01-16 07:00:00,19.8
368,2024-01-16 08:00:00,24.9
369,2024-01-16 09:00:00,14.0
370,2024-01-16 10:00:00,27.3
371,2024-01-16 11:00:00,19.9
372,2024-01-16 12:00:00,15.4
373,2024-01-16 13:00:00,12.4
374,2024-01-16 14:00:00,10.2
375,2024-01-16 15:00:00,9.1
376,2024-01-16 16:00:00,11.2
377,2024-01-16 17:00:00,17.3
378,2024-01-16 18:00:00,17.9
379,2024-01-16 19:00:00,19.4
380,2024-01-16 20:00:00,23.9
381,2024-01-16 21:00:00,26.9
382,2024-01-16 22:00:00,23.9
383,2024-01-16 23:00:00,23.3
384,2024-01-17 00:00:00,25.9
385,2024-01-17 01:00:00,23.6
386,2024-01-17 02:00:00,13.7
387,2024-01-17 03:00:00,10.7
388,2024-01-17 04:00:00,12.8
389,2024-01-17 05:00:00,19.0
390,2024-01-17 06:00:00,15.6
391,2024-01-17 07:00:00,12.6
392,2024-01-17 08:00:00,13.9
393,2024-01-17 09:00:00,16.4
394,2024-01-17 10:00:00,16.0
395,2024-01-17 11:00:00,17.9
